[WaveVM-QEMU] KERNEL MODE: Connecting to /dev/wavevm...
[WVM-DBG] cpu=1 kvm_enabled=0 vcpu_sock=-1 split=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
[WVM-DBG] kernel path cpu=1 target=1073741823 mode_tcg=1
